gray_value,rgb_value
0,"[3.042026, 42.02599999999984, 26]"
1,"[3.042026, 42.02599999999984, 26]"
2,"[3.042026, 42.02599999999984, 26]"
3,"[3.042026, 42.02599999999984, 26]"
4,"[3.042026, 42.02599999999984, 26]"
5,"[3.042026, 42.02599999999984, 26]"
6,"[3.042026, 42.02599999999984, 26]"
7,"[3.042026, 42.02599999999984, 26]"
8,"[3.042026, 42.02599999999984, 26]"
9,"[3.042026, 42.02599999999984, 26]"
10,"[3.042026, 42.02599999999984, 26]"
11,"[3.042026, 42.02599999999984, 26]"
12,"[3.042026, 42.02599999999984, 26]"
13,"[3.042026, 42.02599999999984, 26]"
14,"[3.042026, 42.02599999999984, 26]"
15,"[3.042026, 42.02599999999984, 26]"
16,"[3.042026, 42.02599999999984, 26]"
17,"[3.042026, 42.02599999999984, 26]"
18,"[3.042026, 42.02599999999984, 26]"
19,"[3.042026, 42.02599999999984, 26]"
20,"[3.042026, 42.02599999999984, 26]"
21,"[3.042026, 42.02599999999984, 26]"
22,"[3.042026, 42.02599999999984, 26]"
23,"[3.042026, 42.02599999999984, 26]"
24,"[3.042026, 42.02599999999984, 26]"
25,"[3.042026, 42.02599999999984, 26]"
26,"[3.042026, 42.02599999999984, 26]"
27,"[3.042026, 42.02599999999984, 26]"
28,"[3.042026, 42.02599999999984, 26]"
29,"[3.042026, 42.02599999999984, 26]"
30,"[3.042026, 42.02599999999984, 26]"
31,"[3.042026, 42.02599999999984, 26]"
32,"[3.042026, 42.02599999999984, 26]"
33,"[3.042026, 42.02599999999984, 26]"
34,"[3.042026, 42.02599999999984, 26]"
35,"[3.042026, 42.02599999999984, 26]"
36,"[3.042026, 42.02599999999984, 26]"
37,"[3.042026, 42.02599999999984, 26]"
38,"[3.042026, 42.02599999999984, 26]"
39,"[3.042026, 42.02599999999984, 26]"
40,"[3.042026, 42.02599999999984, 26]"
41,"[3.042026, 42.02599999999984, 26]"
42,"[3.042026, 42.02599999999984, 26]"
43,"[3.042026, 42.02599999999984, 26]"
44,"[26.04503, 45.029999999998836, 30]"
45,"[3.042026, 42.02599999999984, 26]"
46,"[26.04503, 45.029999999998836, 30]"
47,"[26.04503, 45.029999999998836, 30]"
48,"[26.04503, 45.029999999998836, 30]"
49,"[27.067056, 67.0560000000005, 56]"
50,"[27.067056, 67.0560000000005, 56]"
51,"[27.067056, 67.0560000000005, 56]"
52,"[27.067056, 67.0560000000005, 56]"
53,"[27.067056, 67.0560000000005, 56]"
54,"[27.067056, 67.0560000000005, 56]"
55,"[27.067056, 67.0560000000005, 56]"
56,"[27.067056, 67.0560000000005, 56]"
57,"[27.067056, 67.0560000000005, 56]"
58,"[27.067056, 67.0560000000005, 56]"
59,"[27.067056, 67.0560000000005, 56]"
60,"[27.067056, 67.0560000000005, 56]"
61,"[27.067056, 67.0560000000005, 56]"
62,"[27.067056, 67.0560000000005, 56]"
63,"[27.067056, 67.0560000000005, 56]"
64,"[27.067056, 67.0560000000005, 56]"
65,"[27.067056, 67.0560000000005, 56]"
66,"[27.067056, 67.0560000000005, 56]"
67,"[27.067056, 67.0560000000005, 56]"
68,"[27.067056, 67.0560000000005, 56]"
69,"[27.067056, 67.0560000000005, 56]"
70,"[22.089063999999997, 89.06399999999849, 64]"
71,"[22.089063999999997, 89.06399999999849, 64]"
72,"[22.089063999999997, 89.06399999999849, 64]"
73,"[22.089063999999997, 89.06399999999849, 64]"
74,"[22.089063999999997, 89.06399999999849, 64]"
75,"[22.089063999999997, 89.06399999999849, 64]"
76,"[22.089063999999997, 89.06399999999849, 64]"
77,"[22.089063999999997, 89.06399999999849, 64]"
78,"[22.089063999999997, 89.06399999999849, 64]"
79,"[22.089063999999997, 89.06399999999849, 64]"
80,"[22.089063999999997, 89.06399999999849, 64]"
81,"[22.089063999999997, 89.06399999999849, 64]"
82,"[22.089063999999997, 89.06399999999849, 64]"
83,"[22.089063999999997, 89.06399999999849, 64]"
84,"[22.089063999999997, 89.06399999999849, 64]"
85,"[22.089063999999997, 89.06399999999849, 64]"
86,"[22.089063999999997, 89.06399999999849, 64]"
87,"[22.089063999999997, 89.06399999999849, 64]"
88,"[224.12503099999998, 125.03099999998813, 31]"
89,"[224.12503099999998, 125.03099999998813, 31]"
90,"[224.12503099999998, 125.03099999998813, 31]"
91,"[67.10510799999999, 105.1079999999929, 108]"
92,"[67.10510799999999, 105.1079999999929, 108]"
93,"[224.12503099999998, 125.03099999998813, 31]"
94,"[67.10510799999999, 105.1079999999929, 108]"
95,"[67.10510799999999, 105.1079999999929, 108]"
96,"[67.10510799999999, 105.1079999999929, 108]"
97,"[67.10510799999999, 105.1079999999929, 108]"
98,"[67.10510799999999, 105.1079999999929, 108]"
99,"[67.10510799999999, 105.1079999999929, 108]"
100,"[67.10510799999999, 105.1079999999929, 108]"
101,"[67.10510799999999, 105.1079999999929, 108]"
102,"[224.12503099999998, 125.03099999998813, 31]"
103,"[224.12503099999998, 125.03099999998813, 31]"
104,"[224.12503099999998, 125.03099999998813, 31]"
105,"[224.12503099999998, 125.03099999998813, 31]"
106,"[224.12503099999998, 125.03099999998813, 31]"
107,"[224.12503099999998, 125.03099999998813, 31]"
108,"[224.12503099999998, 125.03099999998813, 31]"
109,"[224.12503099999998, 125.03099999998813, 31]"
110,"[224.12503099999998, 125.03099999998813, 31]"
111,"[224.12503099999998, 125.03099999998813, 31]"
112,"[224.12503099999998, 125.03099999998813, 31]"
113,"[224.12503099999998, 125.03099999998813, 31]"
114,"[224.12503099999998, 125.03099999998813, 31]"
115,"[224.12503099999998, 125.03099999998813, 31]"
116,"[224.12503099999998, 125.03099999998813, 31]"
117,"[224.12503099999998, 125.03099999998813, 31]"
118,"[224.12503099999998, 125.03099999998813, 31]"
119,"[224.12503099999998, 125.03099999998813, 31]"
120,"[224.12503099999998, 125.03099999998813, 31]"
121,"[224.12503099999998, 125.03099999998813, 31]"
122,"[224.12503099999998, 125.03099999998813, 31]"
123,"[224.12503099999998, 125.03099999998813, 31]"
124,"[224.12503099999998, 125.03099999998813, 31]"
125,"[224.12503099999998, 125.03099999998813, 31]"
126,"[224.12503099999998, 125.03099999998813, 31]"
127,"[224.12503099999998, 125.03099999998813, 31]"
128,"[224.12503099999998, 125.03099999998813, 31]"
129,"[224.12503099999998, 125.03099999998813, 31]"
130,"[224.12503099999998, 125.03099999998813, 31]"
131,"[224.12503099999998, 125.03099999998813, 31]"
132,"[224.12503099999998, 125.03099999998813, 31]"
133,"[224.12503099999998, 125.03099999998813, 31]"
134,"[224.12503099999998, 125.03099999998813, 31]"
135,"[224.12503099999998, 125.03099999998813, 31]"
136,"[224.12503099999998, 125.03099999998813, 31]"
137,"[224.12503099999998, 125.03099999998813, 31]"
138,"[224.12503099999998, 125.03099999998813, 31]"
139,"[224.12503099999998, 125.03099999998813, 31]"
140,"[224.12503099999998, 125.03099999998813, 31]"
141,"[224.12503099999998, 125.03099999998813, 31]"
142,"[224.12503099999998, 125.03099999998813, 31]"
143,"[224.12503099999998, 125.03099999998813, 31]"
144,"[224.12503099999998, 125.03099999998813, 31]"
145,"[224.12503099999998, 125.03099999998813, 31]"
146,"[224.12503099999998, 125.03099999998813, 31]"
147,"[234.184103, 184.1030000000028, 103]"
